kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
Obat Hipertensi,Nidaven,Digunakan untuk mengatasi hipertensi akut dan terapi krisis hipertensi akut selama pembedahan.,Efek samping yang mungkin terjadi apabila menggunakan Nivaden adalah:,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:",Overdosis
Obat Hipertensi,Nicarfion,Nicarfion digunakan untuk perawatan jangka pendek untuk mengatasi hipertensi.,"Efek samping yang mungkin terjadi selama penggunaan Nicarfion, antara lain:","Interaksi obat:
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Nicarfion: 
Penggunaan bersamaan dengan penghambat β dapat mengendapkan atau memperburuk gagal jantung. Dapat mengubah kadar serum dengan induser CYP3A4 (misalnya Carbamazepine, rifampicin) atau inhibitor (misalnya Cimetidine). Dapat meningkatkan kadar serum ciclosporin, tacrolimus, sirolimus dan digoxin dalam serum.","Kontraindikasi:
Hindari penggunaan Nicarfion pada pasien yang memiliki indikasi:"
Obat Hipertensi,Nicardex,Nicardex digunakan untuk perawatan jangka pendek dari hipertensi.,"Efek samping yang mungkin terjadi selama penggunaan Nicardex, antara lain:","Interaksi obat:
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Nicardex: 
Penggunaan bersamaan dengan penghambat β dapat mengendapkan atau memperburuk gagal jantung. Dapat mengubah kadar serum dengan induser CYP3A4 (misalnya Carbamazepine, rifampicin) atau inhibitor (misalnya Cimetidine). Dapat meningkatkan kadar serum ciclosporin, tacrolimus, sirolimus dan digoxin dalam serum.","Kontraindikasi:
Hindari penggunaan Nicardex pada pasien yang memiliki indikasi:"
Obat Hipertensi,Nicafer,Nicafer adalah obat yang diindikasikan untuk terapi jangka pendek hipertensi.,Nicafer digunakan untuk terapi jangka pendek dari tekanan darah tinggi atau hipertensi.,Nicafer termasuk obat keras yang memerlukan resep dokter.,Artikel Lainnya: Pola Diet Sehat untuk Penderita Hipertensi
Obat Hipertensi,Nevodio,"Nevodio adalah obat untuk mengatasi tekanan darah tinggi atau hipertensi. Apa yang membedakannya dengan antihipertensi lain? Yuk, cek selengkapnya di sini!","Nevodio termasuk ke dalam golongan keras yang hanya dapat diperoleh dengan resep dokter. Sebelum menggunakan obat ini, disarankan untuk mengkonsultasikannya dengan dokter dan apoteker. Simak selengkapnya dibawah ini tentang Nevodio.","Nevodio adalah salah satu obat mengobati hipertensi atau tekanan darah tinggi, jika tekanan darah terkontrol maka dapat meminimalisir risiko terjadinya stroke, serangan jantung.",Artikel Lainnya: 21 Makanan Penurun Darah Tinggi Alami yang Ampuh
Obat Hipertensi,Nebivolol,"Nebivolol digunakan untuk menurunkan tekanan darah tinggi, dan mengobati gagal jantung.","Cara Penyimpanan
Simpan pada suhu 20-25°C, lindungi dari cahaya.","Kontraindikasi
Hindari penggunaan Nebivolol pada pasien dengan kondisi:",Efek samping penggunaan Nebivolol yang mungkin terjadi adalah:
Obat Hipertensi,Nebilet,Nebilet adalah obat dengan kandungan nebivolol yang digunakan untuk menurunkan tekanan darah tinggi dengan cara meningkatkan denyut jantung hingga mengontrol pembuluh darah.,Artikel lainnya: Kenapa Penderita Tekanan Darah Tinggi Mudah Marah?,"Nebilet merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter. Selain itu, dosis penggunaan Nebilet juga harus dikonsultasikan dengan dokter terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu. Aturan penggunaan Nebilet secara umum adalah:",Nebilet merupakan obat kardiovaskular yang dapat digunakan untuk:
Obat Hipertensi,Natrilix SR,Natrilix SR merupakan sediaan obat dalam bentuk tablet lepas lambat yang di produksi oleh Darya Varia Laboratoria Tbk Indonesia.,"Cara Penyimpanan
Simpan pada suhu antara 20-25 derajat Celcius.",Overdosis,Efek samping penggunaan Natrilix SR yang mungkin terjadi adalah:
Obat Hipertensi,Natexam,Natexam membantu menurunkan tekanan darah.,Efek samping penggunaan Natexam yang mungkin terjadi adalah:,"Interaksi Obat: 
Interaksi yang dapat terjadi yaitu penggunaan natexam bersama dengan obat-obat berikut:",Kontraindikasi
Obat Hipertensi,Nadolol,"Nadolol adalah obat sediaan tablet yang dapat digunakan untuk menangani gejala aritmia jantung, hipertensi, serta angina pektoris. Berikut penjelasannya.",Obat Nadolol dapat digunakan untuk mengatasi gejala:,Dosis Nadolol harus dengan anjuran dan resep dokter. Berikut rekomendasinya secara umum.,Artikel lainnya: Apa Bahaya Konsumsi Obat Hipertensi Tanpa Resep Dokter?
Obat Hipertensi,Molesco,Molesco digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Molesco adalah:,"Interaksi obat:
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Molesco:","Kontraindikasi:
Hindari penggunaan Molesco pada pasien yang memiliki indikasi:"
Obat Hipertensi,Moexipril,Moexipril adalah obat yang dipakai untuk menurunkan tekanan darah. Bagaimana dosis dan aturan pakai Moexipril? Ketahui informasi selengkapnya di sini.,Manfaat Moexipril adalah untuk membantu terapi hipertensi.,"Moexipril merupakan obat keras, hanya bisa didapatkan dan digunakan dengan resep dokter.","Artikel lainnya: Hati-hati, Hipertensi Bisa Berujung pada Hemodialisis"
Obat Hipertensi,Miniten,Miniten di gunakan sebagai terapi tunggal atau terapi kombinasi untuk menurunkan tekanan darah tinggi.,Efek samping penggunaan Miniten yang mungkin terjadi adalah:,Kontraindikasi,Overdosis
Obat Hipertensi,Micardis,Micardis digunakan untuk menurunkan tekanan darah pada pasien hipertensi dan gagal jantung.,"Cara Penyimpanan
Simpan pada suhu dibawah 30 derajat Celcius.",Overdosis,Efek samping penggunaan Micardis yang mungkin terjadi adalah:
Obat Hipertensi,Mediresix,"Mediresix adalah obat dengan kandungan furosemide yang bermanfaat untuk mengatasi hipertensi pembengkakan jaringan akibat penyakit jantung, gagal hati dan gagal ginjal.",Artikel lainnya: Obat Diuretik Alami untuk Atasi Bengkak Akibat Penumpukan Cairan,Mediresix tergolong obat keras yang penggunaannya harus menggunakan resep dokter. Berikut adalah aturan minum dan dosis penggunaan obat mediresix secara umum:,Mediresix bermanfaat untuk menurunkan tekanan darah tinggi atau hipertensi. Selain itu obat ini juga digunakan untuk mengatasi edema yang sering terjadi pada penyakit berikut:
Obat Hipertensi,Maintate,"Maintate di gunakan untuk mengobati hipertensi atau tekanan darah tinggi, angina (tekanan lokal pada dada) dan gagal jantung.","Cara Penyimpanan
Simpan pada suhu 20-25 derajat Celcius.",Overdosis,Efek samping yang mungkin terjadi apabila mengkonsumsi Maintate adalah:
Obat Hipertensi,Lovask,Lovask digunakan untuk hipertensi; angina kronis (nyeri dada yang berlangsung selama berbulan-bulan); angina prinzmetal.,Efek samping yang mungkin timbul adalah:,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:",Overdosis
Obat Hipertensi,Losartan,"Losartan digunakan untuk membantu mengobati nyeri dada (angina pektoris), dan menurunkan frekuensi serangan angina (nyeri dada).","Cara Penyimpanan
Simpan pada suhu 25 derajat Celcius, serta terhindar dari cahaya dan kelembaban.",Overdosis,Efek samping yang mungkin terjadi adalah:
Obat Hipertensi,Lorinid Mite,Lorinid Mite digunakan sebagai obat Diuretik (melancarkan pengeluaran urine).,"Efek samping yang mungkin dapat terjadi selama penggunaan obat ini, seperti:",Interaksi Obat,Kontraindikasi
Obat Hipertensi,Loprolol,"Loprolol berfungsi sebagai obat Anti hipertensi (tekanan darah tinggi), obat Angina pectoris (nyeri dada) dan penyakit gagal jantung.","Cara Penyimpanan
Simpan pada suhu dibawah 25 derajat Celcius.",Overdosis,"Efek samping yang mungkin terjadi selama penggunaan obat ini, seperti:"
Obat Hipertensi,Lopresor,"Lopresor digunakan sebagai obat antihipertensi, mencegah terjadinya stroke dan serangan jantung secara tiba-tiba, penyakit angina pektoris.","Efek samping yang dapat terjadi selama penggunaan obat tersebut biasanya, seperti:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:",Overdosis
Obat Hipertensi,Lopiten,"Lopiten digunakan untuk menurunkan tekanan darah tinggi, mengatasi nyeri dada (angina) kronis, Angina Prinzmetal.","Cara Penyimpanan
Simpan pada suhu antara 15-30 ° C. Lindungi dari cahaya.","Kontraindikasi
Tidak boleh diberikan pada pasien dengan kondisi:",Efek samping penggunaan Lopiten yang mungkin terjadi adalah:
Obat Hipertensi,Lodoz,Lodoz adalah obat yang digunakan untuk mengatasi tekanan darah tinggi pada pasien yang menjalani terapi hipertensi.,Artikel Lainnya: Penderita Hipertensi Perlu Lakukan 6 Cara Ini agar Tetap Sehat,Lodoz adalah obat keras. Obat ini dapat dibeli melalui resep dokter.,Lodoz digunakan untuk terapi hipertensi
Obat Hipertensi,Lodipas,Lodipas merupakan obat yang digunakan untuk membantu menurunkan tekanan darah tinggi.,Efek samping yang mungkin terjadi apabila mengkonsumsi Lodipas adalah:,"Kontraindikasi
Tidak boleh diberikan pada pasien dengan kondisi:",Overdosis
Obat Hipertensi,Lisinopril,"Lisinopril adalah obat yang digunakan untuk menurunkan tekanan darah tinggi ,membantu mencegah stroke, serangan jantung, dan masalah ginjal.",Efek samping yang mungkin akan muncul:,"Kontraindikasi
Hindari pemberian obat Lisinopril pada penderita:",Overdosis
Obat Hipertensi,Lifezar,Lifezar merupakan obat yang digunakan untuk membantu menurunkan tekanan darah tinggi.,Efek samping yang mungkin terjadi selama penggunaan Lifezar Tablet:,"Kontraindikasi
 Hindari penggunaan Lifezer Tablet pada pasien yang memiliki indikasi:",Overdosis
Obat Hipertensi,Licodipin,Licodipin digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Licodipin adalah:,Interaksi obat:,"Kontraindikasi:
Pasien dengan kondisi hipotensi berat, syok kardiogenik, dan gagal jantung setelah infark miokard akut."
Obat Hipertensi,Letonal,"Letonal digunakan untuk pengobatan hipertesi, sirosis hati dan sindrom nefrotik, edema idiopatik, diagnosis dan pengobatan aldosteronisme.","Efek samping yang mungkin terjadi selama penggunaan Letonal, antara lain:","Interaksi Obat
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Letonal:","Kontraindikasi
Hindari penggunaan Letonal pada pasien yang memiliki indikasi:"
Obat Hipertensi,Konipid,Konipid digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Konipid adalah:,"Kontraindikasi
Pasien dengan kondisi hipotensi berat, syok kardiogenik, dan gagal jantung setelah infark miokard akut.","Bila efek samping menetap bahkan memburuk, segera hentikan penggunaan Konipid dan konsultasikan ke dokter."
Obat Hipertensi,Isoptin,Isoptin adalah sediaan obat dengan kandungan Verapamil HCl yang digunakan untuk menurunkan tekananan darah tinggi.,Efek samping yang mungkin terejadi adalah:,"Kontraindikasi
Hindari pemberian isoptin pada pasien dengan kondisi hipotensi (tekanan darah rendah), gagal jantung, kelainan darah, dan gangguan hati.","Overdosis
Penggunaan Verapamil yang melebihi dosis dapat menimbulkan gejala hipotensi, bradikardi hingga AV blok derajat tinggi dan henti sinus, hipoglikemia, pingsan dan asidosis metabolik."
Obat Hipertensi,Irtan,Irtan adalah obat produksi Ikapharmindo Putramas yang mengandung Irbesartan .,Efek samping yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan obat Irtan pada pasien:"
Obat Hipertensi,Irbeten,Irbeten dapat digunakan untuk mengobati penyakit tekanan darah tinggi (Hipertensi).,Efek samping yang mungkin terjadi adalah:,Interaksi Obat,Kontraindikasi
Obat Hipertensi,Irbesartan,Irbesartan digunakan sebagai Obat Hipertensi dan nefropati diabetik pada diabetes mellitus tipe 2.,"Cara Penyimpanan
Simpan pada suhu 15-30 derajat Celcius.","Kontraindikasi
Hindari penggunaan Irbesartan pada pasien yang memiliki indikasi:",Efek samping yang mungkin terjadi adalah:
Obat Hipertensi,Irbedox,"Irbedox digunakan untuk menurunkan tekanan darah tinggi, mengatasi gangguan ginjal pada penderita diabetes mellitus tipe 2.",Efek samping penggunaan Irbedox yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Tidak boleh diberikan pada pasien dengan kondisi:"
Obat Hipertensi,Intervask,"Intervask digunakan sebagai pengobatan angina kronis, Hipertensi, dan angina prinzmetal.","Intervask digunakan sebagai pengobatan angina kronis, Hipertensi, dan angina prinzmetal (nyeri dada hebat yang terjadi saat seseorang sedang beristirahat).","Umumnya, dosis awal penggunaan Amlodipine adalah 5 mg sekali sehari. Dosis bersifat individual dan dapat ditingkatkan setelah setidaknya 1-2 minggu. Dosis Maksimal: 10 mg / hari.","Intervask merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter. Selain itu, dosis penggunaan intervask juga harus dikonsultasikan dengan dokter terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu."
Obat Hipertensi,Internolol,"Internolol adalah obat dengan zat aktif yang berguna untuk mengobati tekanan darah tinggi, serta membantu mengobati nyeri dada.",Efek samping yang mungkin timbul adalah:,"Kontraindikasi
Hindari pemberian pada pasien dengan kondisi riwayat syok kardiogenik (Jantung tidak mampu memenuhi pasokan darah yangd dibutuhkan tubuh), edema paru (kondisi yang ditandai dengan gejala sulit bernapas akibat terjadinya penumpukan cairan di dalam kantong paru-paru), dan brakikardia (denyuk jantung lebih lambat).","Overdosis
Gejala overdosis Atenolol antara lain bradikardia, hipotensi, bronkospasme, dan gagal jantung akut; hipoglikemia, gangguan konduksi, penurunan kontraktilitas jantung, penyumbatan jantung, syok, dan henti jantung juga dapat terjadi."
Obat Hipertensi,Inhitril,Inhitril merupakan obat yang mengandung Lisinopril yang digunakan untuk mengobati hipertensi (tekanan darah tinggi),Efek samping yang mungkin terjadi adalah:,Kontraindikasi,"Overdosis
Penggunaan Lisinopril yang melebihi dosis dapat menimbulkan gejala hipotensi, syok peredaran darah, takikardia, palpitasi, bradikardia, hiperventilasi, gagal ginjal, gangguan elektrolit, ansietas, pusing dan batuk."
Obat Hipertensi,Hytroz,Hytroz adalah obat yang digunakan untuk mengobati gejala pembesaran prostat dan juga hipertensi. Apa kandungan? Simak infonya di sini.,Hal ini menyebabkan relaksasi pada kelenjar prostat sehingga melancarkan aliran urine.,Manfaat Hytroz adalah mengatasi gangguan kemih akibat pembesaran prostat serta hipertensi.,"Selain itu, obat Hytroz juga memiliki efek menurunkan tekanan darah pada penderita hipertensi."
Obat Hipertensi,Hytrin,"Hytrin adalah obat yang diindikasikan untuk mengobati gangguan pada saluran kemih, prostat, serta menurunkan tekanan darah tinggi.","Hytrin digunakan untuk menangani masalah saluran kemih, prostat, serta dapat menurunkan tekanan darah tinggi.","Hytrin termasuk obat keras. Oleh sebab itu, obat ini hanya dapat dibeli melalui resep dokter.","Artikel Lainnya: Pembesaran Prostat, Haruskah Dioperasi?"
Obat Hipertensi,Hexavask,"Hexavask digunakan untuk mengobati hipertensi, angina stabil kronik dan vasospastik.",Efek samping yang umum yang sering timbul:,"Kontraindikasi
Hexavask sebaiknya tidak digunakan pada pasien dengan kondisi:",Overdosis
Obat Hipertensi,Herbesser,"Obat Herbesser digunakan untuk mengobati angina dan kondisi lainnya. Penjelasan selengkapnya mengenai Herbesser, ada di artikel berikut.",Cara kerja diltiazem adalah dengan melebarkan dinding pembuluh darah sehingga aliran darah dan oksigen ke jantung dapat meningkat.,"Perlu diketahui, diltiazem hanya akan membantu Anda untuk mengontrol, bukan untuk menyembuhkan hipertensi.","Proses ini akan menurunkan tekanan darah dan detak jantung, sekaligus mengurangi beban kerja jantung."
Obat Hipertensi,Harvask,Harvask digunakan untuk menurunkan tekanan darah tinggi (hipertensi); Angina stabil (nyeri dada) kronis; Angina Prinzmetal.,"Cara Penyimpanan
Simpan pada suhu 15-30°C. Lindungi dari cahaya.","Kontraindikasi
Tidak boleh diberikan pada pasien dengan kondisi:",Efek samping penggunaan Harvask yang mungkin terjadi adalah:
Obat Hipertensi,Gracivask,Gracivask mengandung Amlodipine yang merupakan obat untuk  mengobati penyakit Hipertensi (tekanan darah tinggi).,Efek samping yang dapat timbul yaitu:,"Kontraindikasi
Hindari penggunaan pada pasien yang sensitif (reaksi alergi) terhadap dihidropiridin.
 
 Interaksi Obat",Overdosis
Obat Hipertensi,Gionix,Gionix digunakan untuk mengobati tekanan darah tinggi dan gagal jantung dengan merelaksasikan pembuluh darah.,"Cara Penyimpanan
Simpan pada suhu 15-30°C.","Kontraindikasi
Hindari pemberian pada pasien dengan kondisi:","Efek samping yang mungkin terjadi selama penggunaan Gionix, antara lain:"
Obat Hipertensi,Genvask,Genvask merupakan obat yang digunakan untuk membantu mengobati penyakit hipertensi (tekanan darah tinggi).,"Cara Penyimpanan
Simpan pada suhu 15-30 derajat Celcius.","Bila efek samping tak berhenti bahkan memburuk, segera hentikan penggunaan Genvask dan konsultasikan ke dokter.",Efek samping yang mungkin terjadi adalah:
Obat Hipertensi,Gabiten,Gabiten dapat digunakan untuk megobati terjadinya suatu reaksi alergi pada tubuh.,"Cara Penyimpanan
Simpan pada suhu di bawah 25 derajat Celcius.",Kontraindikasi,"Efek samping yang mungkin dapat terjadi pada pengunan obat ini biasanya, seperti:"
Obat Hipertensi,Fulopin,Fulopin digunakan untuk mengobati hipertensi dan iskemia miokard.,Efek Samping yang mungkin terjadi adalah:,"Kontraindikasi
Tidak boleh di berikan pada pasien yang hipersensitif terhadap dihidropiridin.",Overdosis
Obat Hipertensi,Forten,Forten digunakan sebagai obat terapi hipertensi.,Efek samping penggunaan Forten yang mungkin terjadi adalah:,"Interaksi Obat
Berikut adalah beberapa interaksi obat yang umumnya terjadi saat penggunaan Forten :","Kontraindikasi
Hindari penggunaan Forten pada pasien yang memiliki indikasi:"
Obat Hipertensi,Fionvask,Fionvask digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Fionvask adalah:,"Interaksi Obat
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Fionvask:","Kontraindikasi
Hindari penggunaan Fionvask pada pasien yang memiliki indikasi:"
Obat Hipertensi,Finevask,Finevask merupakan obat yang digunakan untuk membantu mengobati tekanan darah tinggi.,"Cara Penyimpanan
Simpan pada suhu antara 15-30 derajat Celcius, dan terhindar dari cahaya.","Kontraindikasi
Hindari penggunaan Finevask pada pasien yang memiliki indikasi:",Efek samping penggunaan Finevask yang mungkin terjadi adalah:
Obat Hipertensi,Farnormin,Farnormin digunakan untuk menurnkan tekanan darah tinggi dan mengobati angina pektoris.,Efek samping yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Jangan diberikan pada pasien penderita gagal jantung, asma bronkial, syok kardiogenik dan sinus bradikardia."
Obat Hipertensi,Farmoten,Farmoten Tablet merupakan obat yang digunakan untuk membantu mengobati tekanan darah tinggi dan gagal jantung.,Efek Samping yang mungkin timbul adalah:,"Interaksi Obat
Captopril tidak boleh dkombinasi bersama golongan ARB (Candesartan) karena dapat mempercepat pemecahan sel otot.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Hipertensi,Farmalat,"Farmalat digunakan untuk menurunkan tekanan darah tinggi, mengobati penyakit jantung koroner, angina pektoris (nyeri dada).",Efek samping yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari pemberian pada pasien gagal jantung."
Obat Hipertensi,Farmadral,Farmadral adalah obat yang diproduksi Pratapa Nirmala digunakan untuk menurunkan tekanan darah tinggi.,Efek samping penggunaan Farmadral yang mungkin terjadi adalah:,"Interaksi Obat
Jika diberikan bersama obat bius dapat menyebabkan hipotensi (tekanan darah rendah)","Kontraindikasi
Hindari pemberian pada pasien asma, penyakit saluran pernafasan lainnya, hipotensi (tekanan darah rendah), dan gangguan sirkulasi darah."
Obat Hipertensi,Farmabes,"Farmabes diindikasi untuk mengobati hipertensi ringan sampai sedang, baik sebagai terapi tunggal maupun kombinasi dengan anti hipertensi.",Efek samping yang mungkin terjadi apabila mengkonsumsi Farmabes adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Hipertensi,Exforge,Exforge digunakan untuk menurunkan tekanan darah tinggi yang tidak dapat di kontrol dengan terapi pengobatan tunggal.,Dosis: Diminum 1 kali sehari 1 tablet.,Efek samping penggunaan Exforge yang mungkin terjadi adalah:,"Cara Penyimpanan
Simpan pada suhu tidak lebih dari 30 derajat Celcius."
Obat Hipertensi,Etapril,Etapril adalah obat yang diindikasikan untuk mengobati tekanan darah tinggi pada penderita hipertensi.,Etapril digunakan sebagai obat penurun tekanan darah pada penderita hipertensi.,"Simpan pada suhu antara 20-25 derajat Celsius, dan terhindar dari kelembapan.","Etapril adalah obat keras. Obat ini memerlukan resep dari dokter. Secara umum, aturan penggunaan obat Etapril adalah sebagai berikut:"
Obat Hipertensi,Etacarvask,Etacarvask digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Etacarvask adalah:,Interaksi obat:,"Kontraindikasi:
Pasien dengan kondisi hipotensi berat, syok kardiogenik, dan gagal jantung setelah infark miokard akut."
Obat Hipertensi,Ervask,"Ervask digunakan untuk menurunkan tekanan darah tinggi, mengatasi angina (nyeri dada).","Cara Penyimpanan:
Simpan pada suhu 15-30°C. Lindungi dari cahaya.","Kontraindikasi:
Tidak boleh diberikan pada pasien dengan kondisi:",Efek samping yang mungkin terjadi adalah:
Obat Hipertensi,Ertensi,"Ertensi digunakan untuk mengobati hipertensi, angina stabil kronis, Angina Prinzmetal.","Cara Penyimpanan:
Simpan pada suhu 15-30°C. Lindungi dari cahaya.","Kontraindikasi:
Tidak boleh diberikan pada pasien dengan kondisi:",Efek samping yang mungkin terjadi adalah:
Obat Hipertensi,Eprosartan,Digunakan untuk mengatasi masalah hipertensi. Apa yang membedakan Eprosartan dengan Angiotensin Receptor Blocker lainnya?,Adapun cara kerja obat ini adalah dengan cara menghambat reseptor angiotensin II dan mengikat reseptor AT1 di otot-otot pembuluh darah. Dengan cara inilah makan pembuluh darah dapat melebar sehingga tekanan darah pun akan mengecil.,Artikel lainnya: Daftar Komplikasi Hipertensi yang Mesti Diwaspadai,Eprosartan tersedia dalam bentuk sediaan oral yang hanya boleh dibeli dengan resep dokter.
Obat Hipertensi,Edemin,Edemin merupakan sediaan injeksi yang mengandung Furosemid yang diproduksi oleh Ikapharmindo.,Efek samping penggunaan Edemin yang mungkin terjadi adalah:,"Interaksi Obat
Edemin tidak boleh diberikan secara bersamaan dengan obat-obat berikut ini:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Hipertensi,Dovask,"Dovask adalah obat untuk mengatasi hipertensi, jantung iskemik, dan angina pektoris.","Sebelum penggunaan, perhatikan keterangan obat Dovask berikut ini:",Artikel Lainnya: Gejala Stroke pada Wanita yang Mesti Diwaspadai,"Dovask digunakan untuk menangani hipertensi, penyakit jantung iskemik, dan angina pektoris."
Obat Hipertensi,Dopamet,Dopamet mengandung metildopa untuk mengobati tekanan darah tinggi. Dopamet bekerja dengan cara melebarkan pembuluh darah agar darah bisa mengalir lebih lancar.,Dopamet adalah obat yang berfungsi untuk menurunkan tekanan darah yang tinggi pada penderita hipertensi.,Tujuan: hipertensi,Dosis Dopamet dapat berbeda pada tiap pasien tergantung pada kondisi fisik dan penyakit yang dialami. Adapun dosis umum penggunaan Dopamet adalah sebagai berikut:
Obat Hipertensi,Diuvar,Diuvar merupakan sediaan injeksi yang mengandung zat aktif furosemide.,Efek samping penggunaan Diuvar yang mungkin terjadi adalah:,"Interaksi Obat
Berikut ini adalah beberapa obat yang tidak boleh diberikan bersamaan dengan Diuvar:","Kontraindikasi
Hindari penggunaan Diuvar pada pasien yang memiliki indikasi:"
Obat Hipertensi,Dipitenz,Dipitenz diindikasikan untuk perawatan krisis tekanan darah tinggi selama operasi.,"Efek samping yang mungkin terjadi selama penggunaan Dipitenz, yaitu pusing, sakit kepala, kelelahan / malaise, edema atau pembengkakan, kantuk, mual, hipotensi.","Kategori kehamilan:
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Dipitenz ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Kontraindikasi:
Hindari penggunaan Dipitenz pada pasien yang memiliki indikasi hipersensitif dan tekanan intrakranial meningkat pada tahap akut stroke serebral."
Obat Hipertensi,Diovan,"Diovan digunakan untuk pengobatan hipertensi, terapi gagal jantung. Menurunkan tekanan darah tinggi membantu mencegah stroke.","Cara Penyimpanan
Simpan pada suhu 25 derajat Celcius, dan terlindungi dari kelembaban.","Kontraindikasi
Tidak boleh di berikan pada penderita sirosis bilier, kolestasis, penggunaan bersamaan dengan aliskiren pada pasien dengan diabetes mellitus atau gangguan ginjal (GFR)",Efek samping penggunaan Diovan yang mungkin terjadi adalah:
Obat Hipertensi,Dilmen,"Dilmen digunakan untuk membantu mengobati untuk mengobati hipertensi ringan sampai sedang, mengobati angina pektoris.",Efek samping penggunaan Dilmen yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari pemberian pada pasien yang mengalami bradikardia (denyut jantung melambat)."
Obat Hipertensi,Dilavask,"Dilavask digunakan untuk membantu mengobati penyakit hipertensi (tekanan darah tinggi), dan angina (nyeri dada).",Artikel lainnya: Lakukan Hal Ini untuk Mencegah Tekanan Darah Tinggi,Dilavask merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter.,"Dilavask digunakan untuk membantu mengobati penyakit hipertensi (tekanan darah tinggi), dan angina (nyeri dada)."
Obat Hipertensi,Dexacap,"Dexacap digunakan untuk membantu  pengobatan dan terapi  hipertensi sedang dan berat, dan mengobati gagal jantung.",Efek samping penggunaan Dexacap yang mungkin terjadi adalah:,Interaksi obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Hipertensi,Cydipin,Cydipin adalah obat yang diindikasikan untuk mengatasi hipertensi dan angina pektoris.,"Sebelum digunakan, perhatikan keterangan obat Cydipin berikut ini:","Artikel Lainnya: Angka Tekanan Darah Tinggi, Apakah Selalu Hipertensi?",Cydipin digunakan untuk membantu menangani hipertensi dan angina pektoris.
Obat Hipertensi,Cozaar,Cozaar adalah sediaan obat yang digunakan untuk membantu mengobati tekanan darah tinggi (Hipertensi).,Efek samping yang mungkin terjadi selama penggunaan Cozaar antara lain :,"Interaksi Obat
Berikut ini adalah obat-obat yang tidak boleh diberikan bersamaan dengan Cozaar:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Hipertensi,Coveram,Coveram adalah sediaan obat yang digunakan sebagai obat hipertensi dan pencegahan jantung koroner.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius, di tempat kering dan sejuk.","Kontraindikasi
Hindari penggunaan Coveram pada pasien yang memiliki indikasi:","Efek samping yang mungkin terjadi selama pengunaan Coveram, yaitu:"
Obat Hipertensi,Corvask,Corvask digunakan untuk mengobati tekanan darah tinggi dan nyeri dada (angina pektoris).,Efek samping yang mungkin timbul selama penggunaan Corvask adalah:,Interaksi obat:,"Kontraindikasi:
Pasien dengan kondisi hipotensi berat, syok kardiogenik, dan gagal jantung setelah infark miokard akut."
